ri,smiles,group,stratify_group
1684.3333333333333,CCOP(=O)(OCC)SCCSCC.CCOP(=S)(OCC)OCCSCC,unbrch_alkane,unbrch_alkane
2482.0,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,alkyl_halide,alkyl_halide
409.0,F/C(=C(/C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,halogen,halogen
1247.0,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,alkyl_halide,alkyl_halide
1058.5,C#CCCc1ccccc1,aryl_methyl,aryl_methyl
1123.5,CCC#Cc1ccccc1,benzene,benzene
1148.838888888889,C1=Cc2ccccc2CC1,allylic_oxid,allylic_oxid
1167.0,C1=CCc2ccccc2C1,allylic_oxid,allylic_oxid
1096.6,C=Cc1ccc(C=C)cc1,benzene,benzene
1091.2166666666667,C=Cc1cccc(C=C)c1,benzene,benzene
1102.0,C=Cc1ccccc1C=C,benzene,benzene
1116.5,Cc1cccc2c1C=CC2,allylic_oxid,allylic_oxid
1055.9,CC1=Cc2ccccc2C1,allylic_oxid,allylic_oxid
1579.25,COC(=O)C(C)Oc1ccc(Cl)cc1Cl,ether,ether
2162.7,Cl/C=C1/C2C(Cl)C([C@H](Cl)[C@H]2Cl)C1(CCl)CCl,halogen,halogen
2110.0,Cl/C=C1/C2CC([C@H](Cl)[C@H]2Cl)C1(CCl)C(Cl)Cl,halogen,halogen
2105.8,Cl/C=C1/C2CC(C(Cl)C2(Cl)Cl)C1(CCl)CCl,halogen,halogen
2319.9,CC12CC(Cl)(Cl)C(CC1(Cl)Cl)C2(C(Cl)Cl)C(Cl)Cl,alkyl_halide,alkyl_halide
2238.8,CC1(C(Cl)Cl)C2[C@H](Cl)[C@@H](Cl)C1(C(Cl)Cl)[C@H](Cl)[C@H]2Cl,alkyl_halide,alkyl_halide
2352.1,ClCC1(CCl)C2[C@H](Cl)[C@@H](Cl)C1(CCl)C(Cl)(Cl)[C@H]2Cl,alkyl_halide,alkyl_halide
2258.4,ClCC1(CCl)C2[C@H](Cl)[C@@H](Cl)C1(C(Cl)Cl)[C@H](Cl)[C@H]2Cl,alkyl_halide,alkyl_halide
2357.6,ClCC1(C(Cl)Cl)C2[C@H](Cl)[C@@H](Cl)C1(CCl)[C@H](Cl)[C@H]2Cl,alkyl_halide,alkyl_halide
2373.2,ClCC1(CCl)C2CC(Cl)(Cl)C1(C(Cl)Cl)[C@H](Cl)[C@H]2Cl,alkyl_halide,alkyl_halide
2373.2,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,alkyl_halide,alkyl_halide
2357.6,ClCC12C[C@H](Cl)C([C@@H](Cl)[C@@H]1Cl)C2(C(Cl)Cl)C(Cl)Cl,alkyl_halide,alkyl_halide
2423.8,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)CC2(Cl)Cl,alkyl_halide,alkyl_halide
2382.2,ClCC12CC(Cl)(Cl)C(C[C@@H]1Cl)C2(C(Cl)Cl)C(Cl)Cl,alkyl_halide,alkyl_halide
1664.0,CCn1cnc2ccccc2c1=O,Ar_N,Ar_N
1788.0,CCc1nc(O)c2ccccc2n1,Ar_N,Ar_N
1733.0,Cc1nc2ccccc2c(=O)n1C,Ar_N,Ar_N
1714.0,Cc1cc(=O)n2cccc(C)c2n1,Ar_N,Ar_N
1694.0,Cc1cnc2cccc(C)n2c1=O,Ar_N,Ar_N
1727.0,Cc1nc2ccccn2c(=O)c1C,Ar_N,Ar_N
1866.0,CC1(c2ccccc2)N=C(O)N=C1O,Al_OH,Al_OH
